词汇名	壹账通	360	频率差距（%）
亿元	668	1369	1.049401
银行	551	115	0.791289
科技	550	1271	1.310909
2022	523	743	0.420650
平安	494	15	0.969636
服务	441	646	0.464853
客户	437	179	0.590389
增长	430	604	0.404651
数字化	383	108	0.718016
产品	381	150	0.606299
收入	358	157	0.561453
金融机构	281	462	0.644128
数据	270	392	0.451852
董事长	270	11	0.959259
转型	263	74	0.718631
2021	261	434	0.662835
企业	256	499	0.949219
平台	255	397	0.556863
技术	252	428	0.698413
数字	219	75	0.657534
集团	204	87	0.573529
创新	195	68	0.651282
战略	187	87	0.534759
香港	178	102	0.426966
升级	172	39	0.773256
能力	166	287	0.728916
行业	154	367	1.383117
贷款	153	521	2.405229
管理	153	72	0.529412
主要	152	243	0.598684
场景	150	81	0.460000
中小企业	147	12	0.918367
金融服务	143	33	0.769231
陆金	136	45	0.669118
亏损	133	18	0.864662
执行	131	7	0.946565
打造	130	32	0.753846
美国	126	67	0.468254
人民币	124	726	4.854839
核心	122	50	0.590164
助力	113	56	0.504425
同期	111	300	1.702703
推动	110	58	0.472727
普惠	110	50	0.545455
经验	99	8	0.919192
AI	94	135	0.436170
