词汇名	壹账通	360	频率差距（%）
金融	798	725	0.091479
业务	399	340	0.147870
发展	379	284	0.250660
同比	377	341	0.095491
中国	303	189	0.376238
提升	302	227	0.248344
实现	301	197	0.345515
提供	224	276	0.232143
市场	214	212	0.009346
上市	208	264	0.269231
智能	200	132	0.340000
作为	172	143	0.168605
显示	169	188	0.112426
经济	166	120	0.277108
业绩	161	171	0.062112
解决方案	158	117	0.259494
全球	143	93	0.349650
系统	139	104	0.251799
融资	139	112	0.194245
财经	118	150	0.271186
经营	117	137	0.170940
报告	111	88	0.207207
营收	108	97	0.101852
领域	107	111	0.037383
影响	103	77	0.252427
APP	102	110	0.078431
未来	100	116	0.160000
合作	100	103	0.030000
需求	98	135	0.377551
营销	97	88	0.092784
疫情	95	109	0.147368
精准	91	109	0.197802
应用	90	95	0.055556
赋能	88	103	0.170455
人工智能	79	52	0.341772
建设	79	68	0.139241
财务	70	59	0.157143
研发	66	65	0.015152
继续	65	57	0.123077
2023	65	68	0.046154
实体	65	44	0.323077
优势	63	44	0.301587
控股	59	44	0.254237
分析	57	56	0.017544
重点	56	44	0.214286
优化	55	57	0.036364
价值	55	62	0.127273
宣布	54	69	0.277778
优质	54	62	0.148148
流程	53	62	0.169811
迭代	53	32	0.396226
取得	52	44	0.153846
有效	52	65	0.250000
重要	52	53	0.019231
语音	51	32	0.372549
旗下	51	37	0.274510
上升	51	37	0.274510
